source,target,weight
proud,outfit,1
prove,abil,1
prove,worth,1
punish,manner,1
qualifi,necess,1
qualifi,practic,1
qualifi,negro,1
quarrel,content,1
quell,prejudic,1
question,creep,1
question,impract,1
question,negro,2
question,paragraph,1
question,peac,1
question,race,1
question,superior,1
question,white,1
quick,white,1
quot,[/unclear,1
race,agre,1
race,attitud,1
race,cent,1
race,cleaner,1
race,color,3
race,cooper,1
race,creed,1
race,devil,1
race,fight,1
race,hat,2
race,mingl,1
race,mix,2
race,peopl,3
race,person,1
race,poor,1
race,power,1
race,prejudic,2
race,push,1
race,riot,1
race,separ,4
race,seper,1
race,superior,1
race,unclear,1
race,versa,1
race,white,1
race,win,1
race,color,1
race,divid,1
race,enjoi,1
race,gel,1
race,individu,1
race,interbre,1
race,lead,1
race,mix,3
race,unit,1
race,feel,1
race,mix,1
racial,delet,1
racial,differ,3
racial,difficulti,1
racial,discontent,1
racial,discrimin,1
racial,exist,1
racial,exist,1
racial,hard,1
racial,hatr,1
racial,hatr,1
racial,prejudic,3
racial,prejudic,3
racial,prejudic,1
racial,pride,1
racial,superior,1
racial,tend,1
racial,white,1
rain,basic,1
raini,season,1
rais,negro,1
rang,record,1
rank,fight,1
rank,peopl,1
rank,white,1
rank,white,1
ration,armi,1
realiz,hard,1
reason,educ,1
reason,fellow,1
reason,list,1
reason,peopl,1
reason,question,7
reason,separ,1
reason,soldier,1
reason,south,1
reason,white,1
recept,classifi,1
reciproc,bulli,1
reciproc,privat,1
reciproc,white,1
reckless,cleanli,1
record,establish,1
record,negro,1
record,rain,1
regiment,compani,1
relationship,understand,1
relish,idea,1
remov,idea,1
remov,race,1
replac,unclear,1
resent,negro,1
resent,negro,1
resent,enmiti,1
resent,antinegro,1
respect,outfit,1
respond,negro,1
restraint,outfit,1
result,friction,1
result,mix,1
result,set,1
result,troubl,1
retard,effort,1
retard,war,1
return,night,1
return,noncom,1
right,black,1
right,equal,1
right,freedom,1
right,privileg,1
right,white,1
riot,disord,1
riot,unclear,1
roof,healthi,1
roof,stai,1
ruin,moral,1
rule,cooper,1
rule,race,1
run,negro,1
rush,wait,1
safe,intermingl,1
sanitari,reason,1
sanit,peopl,1
sanit,white,1
satisfi,command,1
satisfi,outfit,1
satisfi,stand,1
satisfi,white,1
satisfi,outfit,1
save,lot,1
save,troubl,1
sea,fight,1
section,countri,2
section,negro,1
section,separ,1
section,town,1
segreg,respect,1
segreg,result,1
select,abil,1
seldom,friendli,1
select,noncom,1
separ,outfit,1
separ,troubl,1
separ,white,1
separ,accomplish,1
separ,achiev,1
separ,adapt,1
separ,argument,1
separ,barrack,2
separ,camp,2
separ,chanc,1
separ,color,1
separ,depend,1
separ,disast,1
separ,effici,2
separ,faction,1
separ,feel,1
separ,fight,1
separ,fight,1
separ,outfit,1
separ,friction,1
separ,friend,1
separ,live,1
separ,matter,1
separ,mix,1
separ,negro,1
separ,negro,1
separ,outfit,33
separ,prevent,1
separ,quarter,1
separ,race,2
separ,separ,1
separ,sleep,1
separ,soldier,1
separ,suggest,1
separ,troop,1
separ,unit,2
separ,victori,1
separ,white,4
separ,white,1
separ,in th,1
seper,unclear,1
seper,camp,1
seper,outfit,4
seper,quarter,1
seper,sea,1
seper,unit,1
seper,prefer,1
separ,unclear,1
separ,outfit,1
separ,separ,1
serv,feel,1
serv,mix,1
serv,outfit,1
serv,race,1
servic,recept,1
sever,disciplin,1
share,color,1
share,latrin,1
shed,blood,1
shoulder,shoulder,1
shower,negro,1
signal,corp,1
singl,reason,1
singl,south,1
sit,close,1
slave,treat,1
sleep,barrack,2
sleep,eat,8
sleep,negro,3
sleep,negro,1
sleep,negro,1
sleep,outfit,1
sleep,soldier,1
sleep,unclear,1
sleep,white,1
sleep,eat,1
sleep,quarter,1
slower,pick,1
smell,goat,1
smell,sweat,1
social,diseas,1
social,dissens,1
social,equal,1
