FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
28,Mississippi,MS,0.215,643390,1.3,SNAP,1.85,Other Nutrition Program,0.575249848458944,0.170518658978225,0.254247035235238,0.263,191750,0.75,0.25,2.88,332456000,2015
29,Missouri,MO,0.156,947900,1.3,SNAP,1.85,Other Nutrition Program,0.503998312058234,0.186728557864754,0.309262580440975,0.186,258610,0.66,0.34,2.73,464284000,2015
30,Montana,MT,0.13,133810,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.666018982138854,,0.333981017861146,0.188,42480,0.6,0.4,2.86,68716000,2015
31,Nebraska,NE,0.123,233350,1.3,SNAP,1.85,Other Nutrition Program,0.44761088493679,0.158988643668309,0.393786158131562,0.183,85970,0.61,0.39,2.77,115937000,2015
32,Nevada,NV,0.137,394910,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.749487224937328,,0.250512775062673,0.224,149460,0.66,0.34,2.98,210694000,2015
33,New Hampshire,NH,0.097,128910,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.500969668761151,,0.499030331238849,0.129,33940,0.51,0.49,3.16,73100000,2015
34,New Jersey,NJ,0.108,971920,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.688451724421763,,0.311548275578237,0.149,298010,0.68,0.32,3.04,530406000,2015
35,New Mexico,NM,0.16,332610,1.65,SNAP,1.85,Other Nutrition Program,0.709359309702053,0.0613330928114007,0.228976879829229,0.25,124980,0.73,0.27,2.79,166502000,2015
36,New York,NY,0.126,2502250,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.742671595563992,,0.257348386452193,0.194,819460,0.67,0.33,3.06,1371215000,2015
37,North Carolina,NC,0.165,1659050,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.747258973508936,,0.252753081582834,0.226,516120,0.73,0.27,2.84,844234000,2015
38,North Dakota,ND,0.077,58030,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.601068412889885,,0.398931587110115,0.094,16130,0.54,0.46,2.94,30625000,2015
39,Ohio,OH,0.16,1852870,1.3,SNAP,1.85,Other Nutrition Program,0.522421972399575,0.155429145056048,0.322326984623854,0.219,575020,0.67,0.33,2.72,903221000,2015
40,Oklahoma,OK,0.162,632030,1.3,SNAP,1.85,Other Nutrition Program,0.510656139740202,0.176035947660712,0.313703463443191,0.226,216980,0.66,0.34,2.82,320046000,2015
41,Oregon,OR,0.142,572790,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.743605859040835,,0.256394140959165,0.225,194070,0.65,0.35,2.91,298910000,2015
42,Pennsylvania,PA,0.131,1674420,1.6,SNAP,1.85,Other Nutrition Program,0.571427718254679,0.0787616010319991,0.349900263972002,0.179,482130,0.67,0.33,2.93,880598000,2015
44,Rhode Island,RI,0.125,132090,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.682867741691271,,0.317283670224847,0.181,38430,0.71,0.29,3.04,71928000,2015
45,South Carolina,SC,0.153,746810,1.3,SNAP,1.85,Other Nutrition Program,0.552242203505577,0.189338653740577,0.258727119347625,0.207,225550,0.69,0.31,2.83,378951000,2015
46,South Dakota,SD,0.121,104140,1.3,SNAP,1.85,Other Nutrition Program,0.485020165162282,0.14903015171884,0.366045707701172,0.18,37670,0.64,0.36,2.94,54897000,2015
47,Tennessee,TN,0.154,1016420,1.3,SNAP,1.85,Other Nutrition Program,0.558420731587336,0.190374057968163,0.25110682591842,0.211,315370,0.73,0.27,2.94,535957000,2015
48,Texas,TX,0.157,4320050,1.65,SNAP,1.85,Other Nutrition Program,0.633383872871842,0.056140553928774,0.310496406291594,0.238,1713430,0.66,0.34,2.59,2007143000,2015
49,Utah,UT,0.131,391610,1.3,SNAP,1.85,Other Nutrition Program,0.440131763744542,0.18778887158142,0.372053829064631,0.164,149790,0.57,0.43,2.79,195913000,2015
50,Vermont,VT,0.119,74600,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.649061662198391,,0.351072386058981,0.157,18820,0.62,0.38,3.39,45311000,2015
