dpid,total_numberof_rooms,numberof_bedrooms,numberof_baths,full_address
290610006902,0,0,100,"402 N DAVIESS ST, GALLATIN, MO, 64640"
290610006904,0,0,100,"310 N DAVIESS ST, GALLATIN, MO, 64640"
290610006905,0,0,100,"312 W CORRINE ST, GALLATIN, MO, 64640"
290610006906,0,0,100,"402 W CORRINE ST, GALLATIN, MO, 64640"
290610006926,0,0,100,"308 E CORRINE ST, GALLATIN, MO, 64640"
290610006928,0,0,100,"101 ROCKY RD, GALLATIN, MO, 64640"
290610006929,0,0,100,"511 PARK ST, GALLATIN, MO, 64640"
290610006914,0,0,100,"212 E CORRINE ST, GALLATIN, MO, 64640"
290610006915,0,0,100,"310 N CLAY ST, GALLATIN, MO, 64640"
290610006917,0,0,100,"202 E CORRINE ST, GALLATIN, MO, 64640"
290610006918,0,0,100,"106A E CORRINE ST, GALLATIN, MO, 64640"
290610006978,0,0,100,"107 WESTWOOD DR, GALLATIN, MO, 64640"
290610006979,0,0,100,"105 WESTWOOD DR, GALLATIN, MO, 64640"
290610006980,0,0,100,"109 WESTWOOD DR, GALLATIN, MO, 64640"
290610006984,0,0,100,"106 WESTWOOD DR, GALLATIN, MO, 64640"
290610006993,0,0,100,"1009 W GRAND ST, GALLATIN, MO, 64640"
290610006999,0,0,100,"1102 W GRAND ST, GALLATIN, MO, 64640"
290610007000,0,0,100,"306 S OLIVE ST, GALLATIN, MO, 64640"
290610006986,0,0,100,"108 WESTWOOD DR, GALLATIN, MO, 64640"
290610006987,0,0,100,"110 WESTWOOD DR, GALLATIN, MO, 64640"
290610006988,0,0,100,"901 W GRAND ST, GALLATIN, MO, 64640"
290610006989,0,0,100,"911 W GRAND ST, GALLATIN, MO, 64640"
290610006990,0,0,100,"1005 W GRAND ST, GALLATIN, MO, 64640"
290610006992,0,0,100,"1101 W GRAND ST, GALLATIN, MO, 64640"
290610007003,0,0,100,"402 S OLIVE ST, GALLATIN, MO, 64640"
290610007018,0,0,100,"811 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007020,0,0,100,"112 S PINE ST, GALLATIN, MO, 64640"
290610007021,0,0,100,"111 S PINE ST, GALLATIN, MO, 64640"
290610007022,0,0,100,"611 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007051,0,0,100,"708 W JOHNSON ST, GALLATIN, MO, 64640"
290610007052,0,0,100,"710 W JOHNSON ST, GALLATIN, MO, 64640"
290610007054,0,0,100,"806 W JOHNSON ST, GALLATIN, MO, 64640"
290610007013,0,0,100,"612 W GRAND ST, GALLATIN, MO, 64640"
290610007014,0,0,100,"702 W GRAND ST, GALLATIN, MO, 64640"
290610007101,0,0,100,"412 S CEDAR ST, GALLATIN, MO, 64640"
290610007103,0,0,100,"1111 W GRAND ST, GALLATIN, MO, 64640"
290610007024,0,0,100,"601 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007026,0,0,100,"501 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007027,0,0,100,"502 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007028,0,0,100,"510 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007045,0,0,100,"501 W JOHNSON ST, GALLATIN, MO, 64640"
290610007048,0,0,100,"307 S WALNUT ST, GALLATIN, MO, 64640"
290610007096,0,0,100,"602 W MILL ST, GALLATIN, MO, 64640"
290610007097,0,0,100,"405 BENTON AVE, GALLATIN, MO, 64640"
290610007100,0,0,100,"502 S CEDAR ST, GALLATIN, MO, 64640"
290610007078,0,0,100,"810 W MILL ST, GALLATIN, MO, 64640"
290610007080,0,0,100,"501 S OLIVE ST, GALLATIN, MO, 64640"
290610007081,0,0,100,"503 S OLIVE ST, GALLATIN, MO, 64640"
290610007082,0,0,100,"505 S OLIVE ST, GALLATIN, MO, 64640"
290610007083,0,0,100,"507 S OLIVE ST, GALLATIN, MO, 64640"
290610007057,0,0,100,"811 W MILL ST, GALLATIN, MO, 64640"
290610007059,3,0,100,"805 W MILL ST, GALLATIN, MO, 64640"
290610007060,0,0,100,"801 W MILL ST, GALLATIN, MO, 64640"
290610007061,0,0,100,"711 W MILL ST, GALLATIN, MO, 64640"
290610007034,0,0,100,"812 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007035,0,0,100,"811 W JOHNSON ST, GALLATIN, MO, 64640"
290610010608,0,0,100,"807 W JOHNSON ST, GALLATIN, MO, 64640"
290610007036,0,0,100,"206 S PINE ST, GALLATIN, MO, 64640"
290610007037,0,0,100,"803 W JOHNSON ST, GALLATIN, MO, 64640"
290610007038,0,0,100,"801 W JOHNSON ST, GALLATIN, MO, 64640"
290610007039,0,0,100,"711 W JOHNSON ST, GALLATIN, MO, 64640"
290610007042,0,0,100,"509 W JOHNSON ST, GALLATIN, MO, 64640"
290610007043,0,0,100,"507 W JOHNSON ST, GALLATIN, MO, 64640"
290610007044,0,0,100,"503 W JOHNSON ST, GALLATIN, MO, 64640"
290610007068,0,0,100,"402 BENTON AVE, GALLATIN, MO, 64640"
290610007069,0,0,100,"406 BENTON AVE, GALLATIN, MO, 64640"
290610007070,4,0,100,"408 BENTON AVE, GALLATIN, MO, 64640"
290610007071,0,0,100,"408 S CHESTNUT ST, GALLATIN, MO, 64640"
290610007062,0,0,100,"707 W MILL ST, GALLATIN, MO, 64640"
290610007063,0,0,100,"701 W MILL ST, GALLATIN, MO, 64640"
290610007064,0,0,100,"605 W MILL ST, GALLATIN, MO, 64640"
290610007065,0,0,100,"603 W MILL ST, GALLATIN, MO, 64640"
290610007066,0,0,100,"601 W MILL ST, GALLATIN, MO, 64640"
290610007067,0,0,100,"511 W MILL ST, GALLATIN, MO, 64640"
290610007006,0,0,100,"206 S OLIVE ST, GALLATIN, MO, 64640"
290610007009,0,0,100,"510 W GRAND ST, GALLATIN, MO, 64640"
290610007010,0,0,100,"512 W GRAND ST, GALLATIN, MO, 64640"
290610010607,0,0,100,"602 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007030,0,0,100,"610 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007031,0,0,100,"704 W VAN BUREN ST, GALLATIN, MO, 64640"
290610007032,0,0,100,"201 S PINE ST, GALLATIN, MO, 64640"
