Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,District of Columbia,Household Size,Map,"Average Household Size by Census Tract, 2017-2021",Average number of people per household,Census Tract,ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Household Income,Map,"Median Household Income by Census Tract, 2017-2021",Income level where half of households are either above or below,Census Tract,ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Housing Characteristics,Map,Housing Characteristics of DC,"Bedrooms, Gross rent as a percentage of household income, Gross rent, House heating fuel, Housing occupancy, Housing tenure, Mortgage status, Occupants per room, Rooms, Selected monthly owner costs, Units in structure, Value, Vehicles available, Year householder moved into unit, Year structure built, ","State, Ward, Census Tract",ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Housing Characteristics,Map,Social Characteristics of DC,"HOUSEHOLDS BY TYPE, RESIDENCE 1 YEAR AGO","State, Ward, Tract",ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Occupancy,Report,A Spatial Panel Data Analysis on DC Renter Occupied Housing,,State,ACS,Office of Planning and Budget,N,N,As released,2021,N,N,N,,
,District of Columbia,Housing Prices / Rent,Infographic,Affordable Housing,New Dedicated,"State, Planning region",,"DCRA Certificate of Occupancy data, DMPED Affordable Housing Database",N,N,As released,2023,N,N,N,,
,District of Columbia,,,,"Affordable Housing Units, Target vs Actual",,,,,,,,,,,,
,District of Columbia,Housing Prices / Rent,Infographic,Upward Mobility,"Median household income, Black or african american, White, Asian, Hispanic or latino, Total households",State,ACS,,N,N,As released,2021,Y,N,N,,
,District of Columbia,Housing Prices / Rent,Infographic,Housing Cost Burden,"Moderately cost burdened, severely cost burdened, Renter occupied, Owner occupied, Black or african american, White, Asian","State, Ward",ACS,,N,N,As released,2020,Y,N,N,,
,District of Columbia,Housing Characteristics,Report,DC State Data Center 2017-2021 ACS Key Demographic Indicators,"Median Household Income (dollars), Mean Household Income (dollars), Total Housing Units (#), Vacant Housing Units (%), Occupied Housing Unit (%), % Owner-occupied Units, % Renter-occupied Units, Homeowner Vacancy Rate, Renter Vacancy Rate, Median Value of Owner-occupied Housing Units, Median Monthly Gross Rent, Households by type, Average Household Size","State, Ward",ACS,,N,N,As released,2021,N,N,N,,
,District of Columbia,Housing Units,Table Download,Housing Units by Occupancy Status 2010 & 2020,"Total housing units, Occupied housing units, Vacant housing units, Housing unit change","State, Ward",Decennial Census,,N,N,As released,2020,Y,N,N,,
,District of Columbia,Housing Units,Table Download,"Census 2020 Population, Voting Age, Race, Hispanic Origin, Housing Data","Total housing units, Occupied housing units, Vacant housing units, Housing unit change","State, Census Tract, Block",Decennial Census,,N,N,As released,2020,Y,N,N,,
,District of Columbia,Housing Units,Table Download,ANC Census 2010 Population and Housing Units,"Total housing units, Occupied housing units, Vacant housing units","Advisory Neighborhood Commission, Census Tract, Block",Census Redistricting,,N,N,As released,2010,N,N,N,,
,District of Columbia,Housing Units,Table Download,DC Census 2010 Housing Units,"Total housing units, Total occupied, Total vacant","Census Tract, Block, Block Group",Decennial Census,,N,N,As released,2010,N,N,N,,
,District of Columbia,Housing Characteristics,Table Download,Housing Characteristics,Housing unit estimate,State,ACS,,N,N,As released,2019,Y,N,N,,
0,Florida,,,,,,,,N,N,,,N,N,N,,
,Georgia ,Housing Units,Table Download,Housing Units by County 2000-2011,Housing Units,"State, County",Census Bureau,,N,N,As released,2011,Y,N,N,,
,Georgia ,Projections,Table Download,"County Residential Population, 2020-2060",Residential Population,County,,Office of Planning and Budget,N,N,As released,2020,N,N,N,,
,Georgia ,Projections,Table Download,"State Residential Population, 2020-2060",Residential Population,State,,Office of Planning and Budget,N,N,As released,2020,N,N,N,,
,Georgia,Housing Characteristics,Table Download,2000 Housing Characteristics,"Total households, Family households, With own children under 18, Married couple households, Female householder no husband, Non-Family Households, Living Alone, Householder 65 and over, Households with Persons under 18, Households with Persons 65 and over, Average Household Size, Average Family Size, Total Housing Units, Vacant, Owner Occupied, Rental Occupied, Units in Structure, Year Structure Built, Number of Rooms, Year Householder Moved Into Unit, House Heating Fuel, Occupancy per Room, Value for Specified Owner-Occupied Housing Units, Gross Rent, Density and Housing Unit Counts Per Square Mile",County,Census Bureau,,N,N,As released,2000,,N,N,,
