item1,item2,correlation
defens,strike,0.116432258
enter,choos,0.116432258
choos,enter,0.116432258
defens,woman,0.116432258
strike,defens,0.116432258
woman,defens,0.116432258
infantri,servic,0.116364501
servic,infantri,0.116364501
trade,monei,0.116259199
monei,trade,0.116259199
post,week,0.116059088
week,post,0.116059088
monei,time,0.11598347
time,monei,0.11598347
war,start,0.115869142
start,war,0.115869142
plane,class,0.115791198
class,plane,0.115791198
limit,combat,0.115762653
combat,limit,0.115762653
transport,speak,0.115687361
speak,transport,0.115687361
teach,rate,0.115650727
rate,teach,0.115650727
pai,civilian,0.115618283
civilian,pai,0.115618283
school,armi,0.115576505
armi,school,0.115576505
underlin,medic,0.115444023
medic,underlin,0.115444023
1,combat,0.115418653
combat,1,0.115418653
call,extra,0.115263259
extra,call,0.115263259
deserv,break,0.115239876
break,deserv,0.115239876
lead,life,0.115104773
life,lead,0.115104773
offic,field,0.115041681
field,offic,0.115041681
care,pick,0.114934444
pick,care,0.114934444
unfair,fair,0.11492534
fair,unfair,0.11492534
victori,fight,0.114898941
fight,victori,0.114898941
town,soldier,0.114455059
soldier,town,0.114455059
hold,draft,0.114417298
draft,hold,0.114417298
satisfi,air,0.114408829
air,satisfi,0.114408829
train,armi,0.114404022
armi,train,0.114404022
experi,job,0.11435417
job,experi,0.11435417
life,live,0.114340777
live,life,0.114340777
tape,cut,0.114306821
night,inspect,0.114306821
concern,word,0.114306821
cut,tape,0.114306821
word,concern,0.114306821
inspect,night,0.114306821
averag,leader,0.114217066
averag,choos,0.114217066
leader,averag,0.114217066
choos,averag,0.114217066
pick,offic,0.114157507
organ,offic,0.114157507
offic,pick,0.114157507
offic,organ,0.114157507
learn,line,0.114147044
line,learn,0.114147044
abil,grade,0.114039766
grade,abil,0.114039766
take,fellow,0.114038748
fellow,take,0.114038748
close,soldier,0.114012427
soldier,close,0.114012427
care,choos,0.113929388
choos,care,0.113929388
famili,govern,0.113885295
govern,famili,0.113885295
limit,physic,0.113810077
physic,limit,0.113810077
monei,countri,0.113793074
countri,monei,0.113793074
clean,food,0.113787132
food,clean,0.113787132
classifi,draft,0.113781517
wear,privat,0.113781517
privat,wear,0.113781517
draft,classifi,0.113781517
experi,posit,0.113739809
posit,experi,0.113739809
classif,experi,0.113739809
experi,classif,0.113739809
wait,dislik,0.113669763
dislik,wait,0.113669763
southern,subject,0.113618785
matter,subject,0.113618785
help,damn,0.113618785
subject,southern,0.113618785
damn,help,0.113618785
subject,matter,0.113618785
camp,train,0.11351518
train,camp,0.11351518
privat,field,0.113488807
field,privat,0.113488807
intellig,offic,0.113430523
offic,intellig,0.113430523
moral,furlough,0.113361493
furlough,moral,0.113361493
rate,polit,0.113245085
