word1,word2,n
1.55,p.m,1
10,0,1
10,12,1
10,days,1
10,empty,1
10,lb,1
10,month,1
10,o'clock,1
10,paces,1
10,soldiers,1
10,times,1
10,white,1
"10,000",white,1
10.3,sunday,1
100,cooperation,1
100,negroe,1
100,percent,1
100,reasons,1
100,strong,1
1000,äôs,1
10th,11th,1
11,0,1
11,days,1
11,month,1
11,p.m,1
11,questions,1
110,iq,1
119th,st,1
11th,ammendment,1
12,30,1
12,hours,1
12,miles,1
12,north,1
12,oclock,1
12,subjects,1
12,yrs,1
1200,clock,1
125,miles,1
"13,000,000",people,1
13th,14th,1
14,days,1
14,miles,1
14,month,1
14,teen,1
14,yr,1
"14,000,000",negros,1
"14,000,000",strong,1
14th,15th,1
14th,1941,1
14th,adment,1
15,20,1
15,month,1
15,white,1
15th,ammendments,1
16,1943,1
16,mile,1
16,southern,1
17,care,1
175,souldiers,1
18,19,1
18,23,1
18,28,1
18,hundred,1
18,month,1
18,yr,1
1800,miles,1
184th,f.a,1
19,snd,1
1917,colored,1
1941,sir,1
1943,war,1
1st,ky,1
1st,sergeant,1
1st,sgt.i,1
1st,st,1
2,children,1
2,colored,1
2,corp,1
2,degrees,1
2,dependence,1
2,fractured,1
2,hr,1
2,hrs,1
2,illegible,1
2,improper,1
2,mo,1
2,month,1
2,negros,1
2,people,1
2,races,1
2,taxi,1
2,terrbley,1
2,types,1
2,wars,1
2,weeks,1
2,words,1
2,wrote,1
"2,555",miles,1
20,40,1
20,buses,1
20,hrs,1
20,months,1
20,passes,1
20,thousand,1
20,yrd,1
20,yrs,1
207,3,1
21,1942,1
21,22,1
21,29,1
22,1,1
22,1943,1
22,reason,1
22000,soilder,1
23,yr,1
24,inf,1
24,months,1
24th,avn,1
25,bond,1
25,cents,1
25,degrees,1
25,mount,1
27,31,1
27,f.m,1
2710,miles,1
28,yrs,1
280,lbs,1
2nd,ccorp,1
2nd,cook,1
2nd,lieutenants,1
2nd,liut,1
2nd,loutenant,1
2nd,st,1
2ndsecond,lt.lieutenant,1
3,25,1
3,allowed,1
3,brothers,1
3,bus,1
3,children,1
3,colored,1
3,dead,1
3,diving,1
3,doctors,1
3,empty,1
3,expect,1
3,grade,1
3,hour,1
3,hours,1
3,mo,1
3,month,1
3,questions,1
3,southern,1
3,speaking,1
3,thousand,1
3,times,1
3,unclear,1
3,wks,1
3,yea,1
3,yrs,1
"3,000",miles,1
"3,500",answers,1
30,pm,1
300,whites,1
3000,miles,1
34,yr,1
36,37,1
36,past,1
369th,inf,1
37,38,1
3777,engineer,1
38,question,1
39,yrs,1
3nn,afternoon,1
3rd,term,1
4,76,1
4,accused,1
4,cost,1
4,difference,1
4,fair,1
4,freedoms,1
4,hole,1
4,hours,1
4,hr,1
4,monis,1
4,mont,1
4,month,1
4,mos,1
4,n.c.o,1
4,times,1
4,wk,1
40,acres,1
40,miles,1
40,white,1
40,yrs,1
400,people,1
41,yrs,1
42,colored,1
42,negro,1
45,47,1
45,miles,1
49,1,1
49,3,1
49,axcis,1
49,miles,1
491,victory,1
4e,pp,1
4f,rejected,1
5,1,1
5,10,1
5,1942,1
5,30,1
5,43,1
5,boys,1
5,colored,1
5,coloured,1
5,day,1
5,hundred,1
5,japs,1
5,miles,1
5,minute,1
5,minutes,1
5,negro,1
5,o'clock,1
5,paces,1
5,race,1
5,soft,1
5,whats,1
50,day,1
50,white,1
50,base,1
50,worth,1
5000,soldiers,1
51,white,1
54,37,1
54,unclear,1
55,56,1
55,miles,1
57,58,1
58,59,1
59,white,1
5th,colum,1
5th,column,1
5th,columnist,1
6,1942,1
6,days,1
6,mos,1
6,oclock,1
6,page,1
6,reg,1
6,wks,1
6,yrs,1
60,anti,1
60,day,1
6000,colord,1
620,south,1
63,64,1
64,due,1
64,squadrons,1
64,white,1
65,66,1
66,colored,1
66,white,1
69,question,1
7,4,1
7,äìi,1
7,colored,1
7,day,1
7,dont,1
7,negro,1
7,personally,1
"7,000",negro,1
"7,000",negroes,1
70,100,1
70,colored,1
70,white,1
74,74,1
74,78,1
74,p.x,1
75,division,1
75,yrs,1
76,76,1
76,continued,1
76,negro,1
78,cents,1
8,30,1
8,hoping,1
8,hours,1
8,mounts,1
8,rounds,1
80,acres,1
800,ac,1
8th,wed,1
9,1941,1
9,negroes,1
9,p.m,1
9,weeks,1
90,percent,1
90,yrs,1
"90,000,000,000",japs,1
92,div,1
92,division,1
92d,inf,1
93,division,1
93rd,divisions,1
93rd,divisison,1
93rd,inf,1
93rd,signal,1
94th,engineer,1
94th,pursuit,1
9th,cavalry,1
a.c.o,duplicating,1
a.w.o.l,record,1
äã,struggle,1
aas,campis,1
aberdeen,maryland,1
abide,live,1
abilities,recognized,1
ability,30,1
ability,äì,1
ability,allowed,1
ability,calls,1
ability,intelligence,1
ability,loses,1
ability,share,1
abolish,prejudice,1
abolish,racial,1
abolished,immediately,1
abolished,paragraph,1
abolished,restaurants,1
abolished,soldiers,1
aboute,5,1
abraham,lincolns,1
absence,v.s.o,1
absolute,freedom,1
absolutely,FALSE,1
absolutely,patriotic,1
absolutely,unfair,1
absolutly,forced,1
absolutly,refuses,1
abuse,language,1
abusing,negro,1
accept,total,1
accomodate,400,1
accomodations,service,1
accomplish,peace,1
accuse,ourself,1
accused,unjustly,1
accustoms,accustomed,1
act,civilized,1
act,justly,1
act,pretty,1
acting,noncoms,1
acting,platoon,1
actions,negros,1
