"","x"
"1137",20346847
"1138",4806160
"1139",1322947
"1140",65307896
"1141",3094333
"1142",220247207
"1143",20334701
"1144",1595760
"1145",4697120
"1146",13139164
"1147",7281526
"1148",141347282
"1149",12561855
"1150",8783656
"1151",6049227
"1152",7935719
"1153",216428384
"1154",22440120
"1155",8789869
"1156",194137754
"1157",8130647
"1158",88944296
"1159",108474253
"1160",21572624
"1161",108549326
"1162",11171840
"1163",8950303
"1164",10663957
"1165",6925950
"1166",5492773
"1167",6148599
"1168",21175981
"1169",108460965
"1170",15929678
"1171",219277579
"1172",220214807
"1173",90361551
"1174",22816781
"1175",31432138
"1176",33761886
"1177",4232246
"1178",21438296
"1179",10886639
"1180",34785876
"1181",330555
"1182",9415223
"1183",219397681
"1184",218526003
"1185",214066497
"1186",208229953
"1187",37122298
"1188",5729571
"1189",10474322
"1190",210829955
"1191",3932117
"1192",88756396
"1193",175194491
"1194",17518834
"1195",221357560
"1196",21743063
"1197",36029291
"1198",32345454
"1199",8209699
"1200",18661318
"1201",86329970
"1202",7348133
"1203",18502344
"1204",8186984
"1205",34029868
"1206",20214363
"1207",53128087
"1208",8124889
"1209",67115896
"1210",6494403
"1211",6211308
"1212",13611718
"1213",21605129
"1214",30370563
"1215",141544401
"1216",20322516
"1217",9511947
"1218",208874311
"1219",83002019
"1220",6965773
"1221",81951925
"1222",217902234
"1223",9481366
"1224",1119302
"1225",212898957
"1226",216912845
"1227",10382541
"1228",7253282
"1229",213708013
"1230",16552702
"1231",8544757
"1232",211497494
"1233",34599668
"1234",210307187
"1235",30776664
"1236",108536005
"1237",222464312
"1238",6906615
"1239",193347090
"1240",194865724
"1241",31079471
"1242",17391721
"1243",3907269
"1244",108541724
"1245",20094765
"1246",193427807
"1247",4833218
"1248",532978
"1249",8887152
"1250",57262993
"1251",199417836
"1252",6287578
"1253",222437431
"1254",8734083
"1255",208422551
"1256",7581414
"1257",6163295
"1258",193546927
"1259",32571415
"1260",6550381
"1261",5911486
"1262",212703559
"1263",6374823
"1264",6920280
"1265",192846764
"1266",24739951
"1267",5598508
"1268",193375657
"1269",16061533
"1270",8871244
"1271",8234624
"1272",13582648
"1273",7264671
"1274",219885651
"1275",6209024
"1276",193050314
"1277",3693844
"1278",57404382
"1279",7762408
"1280",35070043
"1281",8922894
"1282",1493771
"1283",209141021
"1284",193479671
"1285",214424394
"1286",212619257
"1287",19970512
"1288",10052743
"1289",32826812
"1290",16787460
"1291",20526863
"1292",108477834
"1293",42057999
"1294",7976892
"1295",97481925
"1296",219701745
"1297",6027960
"1298",67094668
"1299",6597874
"1300",4903452
"1301",5881943
"1302",95448349
"1303",22724464
"1304",21181110
"1305",193867595
"1306",30372482
"1307",1909780
"1308",5534089
"1309",6722711
"1310",9868951
"1311",33575192
"1312",10371854
"1313",215619149
"1314",4860650
"1315",31316700
"1316",8756140
"1317",196716192
"1318",33894420
"1319",8272045
"1320",13567103
"1321",6119792
"1322",7600993
"1323",36514436
"1324",7426272
"1325",7142896
"1326",67181170
"1327",32110652
"1328",195028371
"1329",16121308
"1330",42086763
"1331",209955138
"1332",32755788
"1333",1954240
"1334",22745061
"1335",17556558
"1336",36039853
"1337",141199355
"1338",209149051
"1339",65303435
"1340",8724855
"1341",18818307
"1342",51936629
"1343",6942599
"1344",65061458
"1345",85981983
"1346",36037839
"1347",15066166
"1348",97551263
"1349",57489732
"1350",222363477
"1351",31124217
"1352",25154503
"1353",7575460
"1354",82001700
"1355",217026286
"1356",113149091
"1357",192505856
"1358",18177642
"1359",37395773
"1360",192404987
"1361",194062006
"1362",88896241
"1363",141844726
"1364",7969836
"1365",14991946
"1366",15961095
"1367",37383535
"1368",88824841
"1369",214799060
"1370",31783416
"1371",82984779
"1372",15569984
"1373",219614095
"1374",705100
"1375",184656087
"1376",34967324
"1377",24535355
"1378",141600608
"1379",8539299
"1380",5562812
"1381",215016337
"1382",15457534
"1383",67065229
"1384",108499488
"1385",75641298
"1386",41550
"1387",220696610
"1388",222457077
"1389",34092280
"1390",17994962
"1391",31336300
"1392",2605963
"1393",8154426
"1394",221895810
"1395",192962804
"1396",73413342
"1397",57198765
"1398",3947293
"1399",6901288
"1400",209065919
"1401",210622051
"1402",9009459
"1403",209053206
"1404",35737621
"1405",7989841
"1406",83179986
"1407",67106076
"1408",199105875
"1409",18868999
"1410",71484523
"1411",215604578
"1412",35537893
"1413",31794412
"1414",88842772
"1415",210924549
"1416",36533436
"1417",4782873
"1418",195823894
"1419",36352766
"1420",44374145
"1421",17961388
"1422",18050419
"1423",17088412
"1424",31583330
"1425",37041435
"1426",210090676
"1427",19965638
"1428",218836641
"1429",2584894
"1430",9229296
"1431",7461488
"1432",2533669
"1433",17993375
"1434",83290841
"1435",7977992
"1436",197685982
"1437",21168270
"1438",57510611
"1439",21164920
"1440",218853443
"1441",8207355
"1442",18148137
"1443",57262449
"1444",196116123
"1445",30355148
"1446",8101363
"1447",67104385
"1448",209611900
"1449",16265748
