"state","year","per_change","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"District of Columbia",2013,-31.61,"18.05","10.68","20.10","2.08","2.00","1.03","5.27","2.57","3.99","5.79","0.82","1.17","2.17","0.56","1.15","5.98","8.50","0.03","0.56","1.40","0.66","1.09","0.12","4.23"
"District of Columbia",2014,-45.14,"18.06","11.80","21.82","2.06","2.14","1.05","4.71","2.15","4.09","5.17","0.65","1.28","2.08","0.57","1.15","5.34","8.16","0.03","0.48","1.32","0.67","0.97","0.12","4.11"
"District of Columbia",2015,-43.54,"17.19","11.49","26.18","2.11","1.97","1.03","2.67","2.20","3.89","6.58","0.66","1.31","1.88","0.56","0.66","5.10","7.29","0.02","0.42","1.21","0.53","0.85","0.15","4.06"
"District of Columbia",2016,-50.23,"16.97","11.74","22.72","2.27","1.75","1.03","2.70","2.40","3.81","7.34","0.83","1.37","2.78","0.60","0.73","5.52","7.58","0.03","0.56","1.48","0.63","0.95","0.13","4.09"
"District of Columbia",2017,-52.57,"17.10","11.41","23.82","2.21","1.57","0.93","2.04","2.17","3.72","7.98","0.86","1.27","2.73","0.59","0.75","5.10","8.23","0.01","0.55","1.30","0.55","0.97","0.14","4.00"
"District of Columbia",2018,-19.37,"16.02","11.50","21.43","2.04","1.59","1.05","2.08","2.56","4.01","5.03","0.87","1.55","3.20","0.84","1.69","5.86","9.54","0.04","0.66","1.54","0.77","1.49","0.16","4.47"
"District of Columbia",2019,-23.98,"16.66","12.47","21.36","2.03","1.78","1.18","2.28","2.74","4.18","4.83","0.72","1.60","3.45","0.76","1.26","5.48","8.60","0.02","0.62","1.47","0.65","1.05","0.17","4.63"
"Florida",2010,-73.15,"12.24","6.27","10.04","2.01","0.63","1.15","1.66","2.18","2.19","16.14","3.02","0.95","2.92","1.23","1.70","14.79","10.34","0.03","1.00","3.34","1.54","2.38","0.04","2.23"
"Florida",2011,-70.39,"13.19","6.78","10.20","2.10","0.58","1.09","1.42","2.05","1.89","17.54","2.77","0.98","2.57","1.10","1.62","13.84","10.51","0.04","0.80","2.75","1.55","2.42","0.04","2.17"
"Florida",2012,-77.77,"12.09","7.06","10.73","2.31","0.67","0.95","1.87","2.86","2.07","15.14","2.61","1.08","3.14","1.22","1.98","12.79","10.58","0.04","0.82","3.06","1.84","2.71","0.06","2.31"
