Maintainer.email.domain,email.domain_count,email.domain_unique_name
stat.unipd.it,11,10
merck.com,8,4
iesta.edu.uy,1,1
marist.edu,2,1
ualberta.ca,14,4
ufvjm.edu.br,1,1
sanofi.com,3,1
post.pl,1,1
ifro.ku.dk,1,1
unisa.edu.au,4,2
uga.edu,9,6
mx.uni-saarland.de,4,3
braverock.com,2,1
umontreal.ca,3,2
maths.tcd.ie,1,1
m4x.org,2,2
pivotal.io,1,1
bwh.harvard.edu,1,1
ug.edu.pl,2,1
canberra.edu.au,2,1
ntnu.no,2,2
paca.inra.fr,1,1
math.csi.cuny.edu,2,1
xlim.fr,1,1
horus.ens.fr,1,1
unpad.ac.id,1,1
mail.hzau.edu.cn,5,1
mailbox.sc.edu,3,1
statefarm.com,2,1
law.stanford.edu,1,1
iplesp.upmc.fr,1,1
cefe.cnrs.fr,2,2
ridaco.be,1,1
bmrb.wisc.edu,1,1
datacamp.com,2,2
mvsoft.com,1,1
safety-line.fr,1,1
hshl.de,1,1
centralesupelec.fr,1,1
hotmail.it,1,1
stat.auckland.ac.nz,9,3
ut.ac.ir,3,1
unb.br,2,2
hrbmu.edu.cn,4,3
users.r-forge.r-project.org,1,1
zozlak.org,1,1
biologie.ens.fr,1,1
schoolph.umass.edu,3,3
staff.kanazawa-u.ac.jp,1,1
interworks.com,2,1
nicebread.de,2,1
ucr.ac.cr,1,1
unh.edu.pe,2,1
mauritskaptein.com,1,1
ausvet.com.au,1,1
gfzb.ch,4,1
lwf.bayern.de,1,1
univ-rennes1.fr,4,3
post.bgu.ac.il,4,2
tudelft.nl,3,3
ed.univ-lille1.fr,1,1
stat.nctu.edu.tw,1,1
drexel.edu,2,2
fbmc.fcen.uba.ar,1,1
ub.edu,8,5
umin.ac.jp,1,1
ysu.edu,1,1
wippies.com,1,1
unicaen.fr,1,1
est-econ.uc3m.es,2,1
uhd.edu,3,1
boku.ac.at,4,3
unm.ac.id,2,1
quants.ch,2,1
ucmerced.edu,2,2
nccu.edu,2,2
ujk.edu.pl,1,1
irsn.fr,4,2
ams.med.uni-goettingen.de,2,1
aridhia.com,1,1
post.harvard.edu,5,5
razi.tums.ac.ir,1,1
stat.ncsu.edu,2,2
waddell.ch,2,1
purdue.edu,7,4
chuv.ch,3,1
geo.umass.edu,1,1
econ.uoa.gr,2,1
unito.it,2,2
umb.edu,2,1
urjc.es,13,4
ib.usp.br,2,2
4dscape.com,4,1
rand.org,7,4
istanbul.edu.tr,4,1
ucr.edu,4,2
law.berkeley.edu,2,1
mail.um.ac.ir,1,1
warnes.net,9,2
fastmail.fm,3,1
env.ethz.ch,4,3
my.jcu.edu.au,1,1
vip.qq.com,1,1
umcutrecht.nl,3,3
univ-rouen.fr,1,1
math.ku.dk,5,3
dex.ufla.br,3,1
mat.puc.cl,1,1
math.arizona.edu,1,1
csic.es,1,1
unitn.it,7,6
univ-amu.fr,1,1
yu.edu,1,1
spatialstreamnetworks.com,1,1
orau.org,1,1
connect.hku.hk,3,2
live.cn,1,1
cwi.nl,3,2
sina.cn,1,1
sciviews.org,16,1
gatech.edu,4,3
chakkrit.com,1,1
statnetconsulting.com,8,2
lunenfeld.ca,2,2
use-r.com,2,1
mail.wvu.edu,4,4
enit.utm.tn,1,1
westat.com,1,1
sjtu.edu.cn,8,6
harvardpilgrim.org,1,1
phd.ceu.edu,1,1
wpi.edu,2,1
rams.colostate.edu,2,1
amitkohli.com,1,1
brighton.ac.uk,3,1
usthb.dz,2,1
uab.edu,3,1
psych.mpg.de,1,1
sfu.ca,5,3
cardiff.ac.uk,3,3
toledobastos.com,1,1
unil.ch,4,4
inegi.org.mx,1,1
thuenen.de,2,2
