individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
105031,2001,5745.0,16.0,0.0,24.0,1.0,0.0,105.0,2.0,1.0,2.0,8.0,5.0,0.0,0.0,0.0,31200.0,5500.0,5500.0,33.759,1999,0.0,0.0,48468.80672268907,8544.180672268907
114003,2001,243.0,31.0,1.0,44.0,1.0,1.0,114.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,58174.0,101500.0,171500.0,22.534,1999,0.0,0.0,90372.5757142857,266423.08823529416
114021,2001,2345.0,31.0,0.0,53.0,1.0,1.0,114.0,1.0,3.0,1.0,1.0,1.0,1.0,100.0,5300.0,120000.0,404000.0,595000.0,24.681,1999,155.34873949579833,8233.48319327731,186418.48739495798,924325.0
117171,2001,789.0,24.0,0.0,40.0,1.0,3.0,117.0,1.0,1.0,1.0,8.0,1.0,1.0,50.0,250.0,61500.0,10000.0,20000.0,23.917,1999,77.67436974789916,388.37184873949576,95539.47478991596,31069.747899159665
121006,2001,631.0,16.0,0.0,43.0,1.0,2.0,121.0,1.0,2.0,1.0,0.0,1.0,1.0,50.0,1350.0,90040.0,26000.0,75580.0,25.374,1999,77.67436974789916,2097.2079831932774,139876.0050420168,117412.57731092437
122175,2001,360.0,15.0,1.0,28.0,1.0,1.0,122.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,550.0,65000.0,63500.0,62500.0,20.719,1999,0.0,854.4180672268907,100976.6806722689,97092.96218487395
126177,2001,1992.0,34.0,0.0,40.0,1.0,1.0,126.0,3.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,27000.0,20400.0,40400.0,23.509,1999,0.0,0.0,41944.15966386554,62760.89075630251
127171,2001,1217.0,22.0,0.0,48.0,1.0,0.0,127.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,83000.0,-12000.0,38000.0,22.803,1999,0.0,0.0,128939.45378151261,59032.52100840336
131030,2001,43.0,41.0,0.0,32.0,1.0,0.0,131.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,6420.0,3500.0,3500.0,53.652,1999,0.0,0.0,9973.389075630252,5437.2058823529405
138031,2001,710.0,4.0,0.0,29.0,2.0,2.0,138.0,4.0,4.0,1.0,8.0,5.0,0.0,0.0,0.0,10336.0,4700.0,4700.0,37.15,1999,0.0,0.0,16056.845714285713,7301.390756302521
139002,2001,45.0,45.0,0.0,34.0,1.0,0.0,139.0,2.0,2.0,1.0,8.0,1.0,5.0,0.0,600.0,100300.0,177000.0,237000.0,38.782,1999,0.0,932.0924369747898,155814.7857142857,368176.51260504196
