amt_of_cultural_donations,amt_of_community_donations,amt_of_env_donations,amt_of_other_donations,total_family_income,wealth_wo_equity,wealth_with_equity,weight,sequence_number,relation_to_rp,year,family_interview_id,psid_state_of_residence_code,family_composition_change,1968_family_identifier,age,sex,number_of_children_in_fu,marital_status,health_status,race,religion,amt_of_religious_donations,amt_of_combo_donations,amt_of_needy_donations,wtr_donated_to_health_org,amt_of_health_donations,amt_of_edu_donations,amt_of_youth_donations,amt_of_cultural_donations,amt_of_env_donations,mcovid1_wtr_donate_to_help_re_pandemic,mcovid2_wtr_pandemic_donations_crowdfund,mcovid3_largest_crowdfund_donation_to,mcovid4_dollar_amt_pandemic_donations,amt_of_other_donations,total_family_income,wealth_wo_equity,wealth_with_equity,weight,sequence_number,relation_to_rp,year,individual_id,wtr_donated-2021
0.0,0.0,0.0,0.0,325000.0,595000.0,630000.0,19.904,2,20,2019,7533.0,34.0,0.0,7.0,33.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,400000.0,125000.0,190000.0,19.904,2,20,2021,7040,5
0.0,0.0,0.0,0.0,45000.0,6200.0,6200.0,44.717,1,10,2019,3865.0,34.0,0.0,7.0,30.0,1.0,0.0,2.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,58867.0,55000.0,100000.0,44.717,1,10,2021,7041,5
0.0,0.0,0.0,0.0,102000.0,49000.0,49000.0,20.643,1,10,2019,6330.0,34.0,0.0,7.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,62600.0,9000.0,69000.0,20.643,1,10,2021,7042,5
0.0,0.0,0.0,0.0,61200.0,9750.0,44750.0,16.803,1,10,2019,6274.0,34.0,0.0,7.0,29.0,1.0,1.0,2.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11138.0,-1900.0,-1900.0,22.404,1,10,2021,7043,5
0.0,0.0,0.0,0.0,0.0,-50000.0,-50000.0,42.184,1,10,2019,5920.0,34.0,0.0,7.0,28.0,1.0,0.0,2.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5000.0,300.0,300.0,42.184,1,10,2021,7044,5
0.0,0.0,0.0,0.0,6200.0,850.0,850.0,16.234,2,22,2019,6517.0,34.0,6.0,7.0,27.0,1.0,3.0,2.0,3.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,53980.0,2000.0,2000.0,13.915,2,22,2021,7045,5
0.0,0.0,0.0,0.0,41610.0,19000.0,34000.0,13.49,2,20,2019,6614.0,34.0,0.0,7.0,28.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,56300.0,21200.0,121200.0,13.49,2,20,2021,7046,5
0.0,0.0,0.0,0.0,83000.0,0.0,0.0,10.553,2,22,2019,4476.0,12.0,0.0,7.0,28.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,85000.0,25000.0,125000.0,10.553,2,20,2021,7047,5
0.0,0.0,0.0,0.0,17000.0,16300.0,16300.0,15.743,1,10,2019,4239.0,34.0,0.0,7.0,24.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,19000.0,100.0,100.0,15.744,1,10,2021,7048,5
0.0,0.0,0.0,0.0,1080.0,0.0,0.0,19.168,1,10,2019,6528.0,34.0,4.0,7.0,24.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6643.0,0.0,0.0,19.168,2,22,2021,7049,5
0.0,0.0,0.0,0.0,9200.0,-9400.0,-9400.0,22.881,2,30,2019,4020.0,34.0,0.0,7.0,40.0,2.0,3.0,5.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,70024.0,-10400.0,-10400.0,22.881,2,30,2021,7050,5
0.0,0.0,0.0,0.0,7200.0,900.0,900.0,19.914,3,30,2019,6582.0,34.0,3.0,7.0,47.0,2.0,0.0,5.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16692.0,12000.0,12000.0,19.914,2,30,2021,7051,5
